id,nome,atrib,vida,mana,hab1,h1,hab2,h2,armas,spell_access,extra_slots,extra_slot_type,is_espiritualista
1,Alquimista,PRE,8,6,Homunculogia,"O Alquimista pode criar um homúnculo mágico que age como seu assistente. Ele obedece a comandos, age no mesmo turno do criador, carrega objetos pequenos, explora ambientes e interage com mecanismos simples. Pode ser invocado como Ação Padrão até duas vezes por descanso curto, sem custo de mana. O homúnculo é frágil — qualquer dano o desfaz imediatamente.",Olho Mágico,"Como Ação Padrão, o Alquimista conecta seus sentidos ao homúnculo, enxergando e ouvindo tudo que ele percebe. Enquanto utiliza essa habilidade, o Alquimista fica vulnerável e não pode realizar outras ações. A conexão pode ser encerrada a qualquer momento como Ação Livre.",Nenhuma,"[""Truque"", ""Magias Iniciais""]",0,,0
2,Assassino,DES,8,4,Salto das Sombras,Ataques realizados enquanto o Assassino estiver em condição furtiva causam +1d6 de dano adicional.,Sede de Sangue,"Ao realizar um acerto crítico, o alvo sofre automaticamente a condição sangrando por 3 turnos, perdendo 1d8 de Vida no início de cada um de seus turnos.",Armas Táticas,"[""Truque"", ""Magias Iniciais""]",0,,0
3,Bardo,PRE,6,8,Piada Infame,"Uma vez por Descanso Longo, durante o combate, o Bardo lança sua piada. Todas as criaturas conscientes que possam compreendê-lo realizam uma salvaguarda de Vontade contra a CD do Bardo. Em caso de falha, a criatura é deslocada para o último lugar na ordem de iniciativa.",Inspiração Bárdica,"Uma vez por Descanso Longo, o Bardo concede a cada aliado visível 1d6 de dado de inspiração, que pode ser somado a qualquer teste de sua escolha após a rolagem.",Nenhuma,"[""Truque"", ""Magias Iniciais""]",0,,0
4,Bruxo,INT,6,8,Pacto Sobrenatural,"Bruxos possuem acesso às magias do tipo Pacto. O Bruxo deve escolher uma entidade patrona durante a criação. Tem vantagem ao conjurar magias da Natureza Caótica. Em locais sagrados, fica Desorientado.",Sussurro da Entidade,"Uma vez por rodada, como Ação Livre, o Bruxo gasta 1 PM e escolhe um alvo visível. O alvo realiza uma salvaguarda de Vontade; em caso de falha, sofre Desvantagem no próximo teste ou ataque.",Armas Mágicas,"[""Truque"", ""Magias Iniciais"", ""Magias de Pacto""]",0,,0
5,Caçador,DES,8,4,Alvo na Mira,"O primeiro ataque realizado pelo Caçador em cada combate possui +1 na margem de crítico. Se realizado antes do alvo agir na iniciativa, o bônus aumenta para +2.",Instinto de Caçador,O Caçador não sofre penalidades em terrenos difíceis ou arenosos. Recebe +2 em todos os testes de Furtividade.,Armas de Disparo,"[""Truque"", ""Magias Iniciais""]",0,,0
6,Cavaleiro,VIT,10,4,Investida do Cavaleiro,"No primeiro turno de cada combate, o Cavaleiro pode realizar uma investida com Ação de Movimento adicional e o primeiro ataque com vantagem.",Juramento de Cavaleiro,O Cavaleiro designa um inimigo como alvo do juramento. Recebe Vantagem em ataques e salvaguardas contra esse inimigo. Pode ser ativado uma vez por descanso.,"Armas Táticas, Armadura Leve, Pesada e Escudos","[""Truque"", ""Magias Iniciais""]",0,,0
7,Espiritualista,PRE,8,10,Vínculo Espiritual,O Espiritualista escolhe uma entidade Elemental (acesso a Magias Antigas) ou Sagrada (acesso a Magias Sagradas) durante a criação.,Maré de Mana,"Uma vez por Descanso Longo, como Ação Padrão, restaura PM igual ao modificador de Presença a todos os aliados em raio de 9 metros.",Armas Mágicas,"[""Truque"", ""Magias Iniciais""]",0,,1
8,Guardião,VIT,12,6,Pilares de Escudos,"Uma vez por descanso, o Guardião cria uma barreira colossal que concede Cobertura Total à sua frente. Dura até o início do próximo turno.",Grande Protetor,"+1 permanente na Defesa Básica. Quando um aliado adjacente sofrer um ataque, pode usar Reação para absorver metade do dano.",Armadura Pesada e Escudo,"[""Truque"", ""Magias Iniciais""]",0,,0
9,Guerreiro,FOR,10,4,Golpe Brutal,"Uma vez por combate, ao acertar um ataque corpo a corpo, declara Golpe Brutal. Causa dano adicional igual à Força. Se d20 ≥ 18, alvo faz Tenacidade ou fica Atordoado.",Adrenalina de Batalha,"Com metade ou menos da Vida máxima, recebe +2 nas rolagens de ataque corpo a corpo.","Armas Táticas, Armadura Leve e Escudos","[""Truque"", ""Magias Iniciais""]",0,,0
10,Mago,INT,6,10,Sobrecarga Arcânica,O Mago pode aumentar o Limite de Mana por Turno em valor igual ao seu Intelecto. A próxima magia requer Ação Completa.,Grimório Vivo,O Mago conhece 3 magias adicionais tipo Grimório. Esse bônus é permanente.,Armas Mágicas,"[""Truque"", ""Magias Iniciais"", ""Magias de Grimório""]",3,Magias de Grimório,0
11,Monge,FOR,8,8,Combo Marcial,"Com arma do tipo manopla, ataques críticos causam dano triplicado.",Fluxo de Chi,Acertos críticos geram 1 ponto de Chi (usável como mana). Armazena Chi máximo igual ao valor de Foco.,Armas Táticas e Mágicas,"[""Truque"", ""Magias Iniciais""]",0,,0
