id,nome,tipo,elemento,titulo,descricao,efeito_nome,efeito
1,O Afogado,Elemental,Água,Senhor das Águas Profundas,Uma entidade antiga que dorme nos abismos oceânicos. Sua presença traz calmaria e tempestades com igual indiferença.,Abraço das Profundezas,Vantagem em salvaguardas contra Fogo e calor extremo. +2 nas rolagens de ataque com magias de Água.
2,O Rei das Montanhas,Elemental,Terra,Guardião dos Ossos do Mundo,"Antiga inteligência que habita o coração de toda pedra e mineral. Paciente como a rocha, implacável como uma avalanche.",Firmeza da Pedra,+1 permanente na Defesa Básica. +2 nas rolagens de ataque com magias de Terra.
3,A Dama de Vermelho,Elemental,Fogo,Senhora das Chamas Eternas,"Entidade de paixão e destruição, cujo calor nunca diminui. Ela abraça os que a honram com fervor tão intenso quanto suas próprias chamas.",Chama Implacável,Magias de Fogo causam +1d4 de dano adicional. Vantagem em salvaguardas contra frio extremo.
4,O Andarilho,Elemental,Vento,O Eterno Errante,"Espírito livre que percorre todos os cantos do mundo, levando histórias e segredos de ponta a ponta. Nunca fica no mesmo lugar por muito tempo.",Sopro Livre,Deslocamento aumenta em +3 metros. Vantagem em testes de Furtividade em campo aberto.
5,O Trovador,Elemental,Trovão,Voz das Tempestades,"A mais jovem das entidades elementais, sua existência é puro poder bruto. Ele não fala — apenas troveja.",Eco do Trovão,Magias de Trovão ignoram 2 pontos de resistência elemental. Críticos com magias de Trovão atordoam o alvo por 1 turno.
6,A Dama dos Desejos,Caótica,Caótico,Tecelã de Contratos e Ilusões,Uma entidade primordial da corrupção que existe nos desejos não ditos. Ela nunca mente — apenas molda a verdade.,Fio dos Desejos,"Vantagem em Enganação e Persuasão. Uma vez por Descanso Longo, pode lançar uma ilusão perfeita que engana todos os sentidos por 1 minuto."
7,O Mestre do Banquete,Caótica,Caótico,Deus do Excesso e da Devora,"Um primordial que se alimenta do excesso em todas as suas formas — prazer, dor, ambição. Seu domínio é o do insaciável.",Voracidade do Banquete,"Ao reduzir uma criatura a 0 HP, recupera 1d6 de Vida ou Mana (à escolha). Vantagem em Intimidação."
8,O Ruivo,Caótica,Caótico,Senhor do Caos e da Sorte,Uma força do caos puro que ri de toda ordem e previsibilidade. Seus aliados nunca sabem o que vem a seguir — mas sempre é interessante.,Capricho do Caos,"Uma vez por combate, pode forçar um inimigo visível a relançar qualquer dado que acabou de rolar. O segundo resultado é final."
9,O Colecionador,Caótica,Caótico,Guardião de Tudo Que Foi Perdido,"Uma entidade que acumula memórias, segredos e artefatos. Nada o satisfaz tanto quanto possuir o que outros jamais terão.",Memória Devorada,"Vantagem em testes de História. Ao tocar um objeto, pode sentir suas últimas memórias (Ação Padrão, 1 vez por hora)."
10,O Sonolento,Caótica,Caótico,Senhor dos Pesadelos e do Inconsciente,Um primordial que habita o espaço entre o sonho e a vigília. Sua influência se manifesta em pesadelos que corrompem a mente.,Véu Onírico,"CD de magias de sono, encantamento e medo +2. Pode enviar mensagens em sonhos a alvos adormecidos a até 1 km."
11,O Mil Olhos,Caótica,Caótico,A Vigilância Sem Fim,Uma entidade que tudo vê e tudo registra. Sua presença é sentida como a sensação constante de ser observado por todos os lados.,Visão Onipresente,Não pode ser surpreendido. Vantagem em Percepção. +2 nas rolagens de Iniciativa.
12,O Espelho Dourado,Caótica,Caótico,Espelho da Identidade e da Vaidade,"Uma entidade que se alimenta de ilusões de identidade. Ela reflete o que você quer ser — e às vezes, o que você teme ser.",Reflexo Perfeito,"Uma vez por Descanso Longo, pode copiar a aparência de uma criatura vista por 1 hora. Vantagem em Persuasão e Enganação enquanto assume outra identidade."
13,O Primeiro Amanhecer,Sagrada,Sagrado,Pilar da Luz e da Esperança,O primeiro raio de luz que existiu quando o Tudo se fragmentou. Sua presença afasta as trevas e fortalece os que servem à vida.,Luz da Aurora,Magias de cura restauram +1d6 de Vida adicional. Criaturas Negativas e Mortas-Vivas têm Desvantagem em ataques contra você.
14,O Senhor do Silêncio,Sagrada,Sagrado,Pilar da Morte e dos Julgamentos,"Guardião da fronteira entre a vida e o que vem depois. Calmo como o vazio, implacável como o tempo que passa.",Toque do Silêncio,Pode comunicar-se com espíritos de mortos das últimas 24h. +2 em testes de Investigação e Percepção sobre mortos ou segredos ocultos.
15,O Arquiteto Sem Face,Sagrada,Sagrado,Pilar da Criação e da Ordem,A mente que concebeu as primeiras runas e leis do universo. Não tem forma porque é anterior a toda forma.,Projeto Arcano,Magias de invocação e criação custam -1 PM (mínimo 1). +2 nas rolagens de Foco.
16,O Guardião do Tempo,Sagrada,Sagrado,Pilar do Destino e das Profecias,"Um Pilar que observa todos os momentos simultaneamente, tecendo profecias com a paciência de eras incontáveis.",Eco do Destino,"Uma vez por Descanso Longo, pode relançar qualquer dado (seu ou de aliado visível) e usar o melhor resultado."
17,A Tecelã,Sagrada,Sagrado,Pilar das Conexões e do Destino Tecido,"A última dos Pilares, cujos fios invisíveis ligam todas as coisas. Ela vê as conexões que outros jamais perceberiam.",Fio da Vida,"Quando um aliado em raio de 9m cair a 0 HP, pode usar Reação gastando 3 PM para estabilizá-lo automaticamente."
